metric_id,metric_name,value,unit,timeframe,geography,denominator,source_id,confidence,notes
M-001,US Dental Implant Market Size,2.1,billion USD,2024,United States,annual,S001,HIGH,"Multiple sources agree"
M-002,US Dental Implant CAGR,6-9,%,2024-2030,United States,annual growth,S001-S004,HIGH,"Range reflects methodology differences"
M-003,All-on-4 Segment CAGR,10-15,%,2024-2030,United States,annual growth,S001,MEDIUM,"Estimated from trends"
M-004,US Adults Missing Teeth,178,million,2024,United States,population,S005,HIGH,"NIH/CDC data"
M-005,US Edentulous Adults,40,million,2024,United States,population,S005,HIGH,"NIH/CDC data"
M-006,Tinley Park Population,55971,people,2020,Tinley Park IL,population,S011,HIGH,"Census 2020"
M-007,Tinley Park Median HH Income,103800,USD,2023,Tinley Park IL,per household,S011,HIGH,"ACS estimate"
M-008,Tinley Park Median Age,42.3,years,2023,Tinley Park IL,population,S011,HIGH,"Recent estimate"
M-009,Tinley Park 65+ Population Share,17.5,%,2020,Tinley Park IL,of population,S011,HIGH,"Census 2020"
M-010,Orland Park Population,59000,people,2023,Orland Park IL,population,S011,HIGH,"ACS estimate"
M-011,Orland Park Median Age,45,years,2023,Orland Park IL,population,S011,HIGH,"Estimate"
M-012,Orland Park 65+ Share,20-22,%,2020,Orland Park IL,of population,S011,MEDIUM,"Estimate range"
M-013,Google Ads CPL Implants Low,60,USD,2024-2025,United States,per lead,S009,MEDIUM,"Lower end of range"
M-014,Google Ads CPL Implants High,150,USD,2024-2025,United States,per lead,S009,MEDIUM,"Upper end competitive markets"
M-015,Implant Marketing ROI Conservative,4,multiple,2024-2025,United States,return on spend,S010,HIGH,"Case study data"
M-016,Implant Marketing ROI Optimized,8,multiple,2024-2025,United States,return on spend,S010,HIGH,"Case study data"
M-017,All-on-4 Average Case Value Low,25000,USD,2024,United States,per arch,S010,MEDIUM,"Industry average"
M-018,All-on-4 Average Case Value High,50000,USD,2024,United States,per arch,S010,MEDIUM,"Premium/complex cases"
M-019,Consultation Conversion Rate Benchmark,50-70,%,2024,United States,consults to treatment,S014,MEDIUM,"Industry range"
M-020,Financing Conversion Lift,25-40,%,2024,United States,increase in conversion,S014,MEDIUM,"Research data"
M-021,Global Cosmetic Market Size Low,26.54,billion USD,2024,Global,annual,S012,MEDIUM,"Precedence Research"
M-022,Global Cosmetic Market Size High,45.15,billion USD,2024,Global,annual,S012,MEDIUM,"Market Data Forecast"
M-023,Americans with Veneers,8,%,2024,United States,of population,S013,MEDIUM,"Industry statistics"
M-024,ClearChoice Chicago BBB Rating,B-,rating,2024,Chicago IL,BBB scale,S008,HIGH,"BBB verified"
