source_id,title,author_org,date_published,url,type,domain,quality_grade,method_rigor,authority,recency,relevance,independence_group_id,lineage_notes,paywalled,accessed_date
S001,United States Dental Implants Market,Markets and Data,2024,https://www.marketsandata.com/industry-reports/united-states-dental-implants-market,market_report,marketsandata.com,B,3,4,5,5,G01_MarketsData,Primary market research,no,2026-01-08
S002,Dental Implants Market,Precedence Research,2024,https://www.precedenceresearch.com/dental-implants-market,market_report,precedenceresearch.com,B,3,4,5,5,G01_Precedence,Independent market research,no,2026-01-08
S003,Dental Implants and Final Abutment Market,iData Research,2024,https://idataresearch.com/product/dental-implants-and-final-abutment-market-united-states/,market_report,idataresearch.com,A,4,5,5,5,G01_iData,Industry standard source,partial,2026-01-08
S004,North America Dental Implants and Abutment Systems Market,Global Market Insights,2024,https://www.gminsights.com/industry-analysis/north-america-dental-implants-and-abutment-systems-market,market_report,gminsights.com,B,3,4,5,5,G01_GMI,Regional market analysis,no,2026-01-08
S005,Tooth Loss Statistics,NIH/CDC,2024,https://www.northwestoralsurgeons.com/blog/tooth-loss-statistics-trends/,health_statistics,nih.gov,A,5,5,4,5,G03_CDC,Government health data,no,2026-01-08
S006,Dental Implant Prevalence Study,NIH PMC,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6854267/,peer_reviewed,nih.gov,A,5,5,3,4,G04_NIH,Peer-reviewed research,no,2026-01-08
S007,Dental Implant Patient Decision Factors,Multiple,2024,Multiple sources,synthesis,various,B,3,4,5,5,G05_Patient,Synthesized from multiple sources,no,2026-01-08
S008,ClearChoice Dental Implant Centers BBB Profile,BBB Chicago,2024,https://www.bbb.org/us/il/chicago/profile/dental-implants/clearchoice-dental-implant-centers-0654-88264024,business_profile,bbb.org,A,5,5,5,5,G06_BBB,Authoritative business rating,no,2026-01-08
S009,Dental Implant Marketing Guide,Dominate Dental,2025,https://www.dominatedental.com/best-dental-implant-marketing-in-sheffield/,industry_guide,dominatedental.com,C,2,3,5,4,G07_Marketing,Industry marketing data,no,2026-01-08
S010,Dental Implant Marketing Report,Delmain,2024,https://delmain.co/blog/dental-implant-marketing-report/,case_study,delmain.co,B,3,4,5,5,G08_CaseStudy,Actual campaign data,no,2026-01-08
S011,Tinley Park Demographics,Census/World Population Review,2023,https://worldpopulationreview.com/us-cities/illinois/tinley-park,government_data,census.gov,A,5,5,5,5,G09_Census,Official census data,no,2026-01-08
S012,Cosmetic Dentistry Market,Precedence Research,2024,https://www.precedenceresearch.com/cosmetic-dentistry-market,market_report,precedenceresearch.com,B,3,4,5,5,G10_Cosmetic,Market research,no,2026-01-08
S013,Veneers Statistics 2025,Impressions Dental,2025,https://impressionsdental.com/blog/veneers-statistics-2025/,industry_article,impressionsdental.com,C,2,3,5,4,G11_Veneer,Industry statistics,no,2026-01-08
S014,Dental Industry Outlook 2025,Planet DDS,2025,https://web.planetdds.com/rs/043-AQQ-739/images/2025%20Dental%20Industry%20Outlook%20-%20Planet%20DDS.pdf,industry_report,planetdds.com,B,3,4,5,5,G12_Benchmark,Industry benchmarks,no,2026-01-08
